device_name,device_feature,p_id,type,min,max,unit,param_dict
spotlight,Switch1,0,int,0,1,[],"{'open':1, 'close':0}"
indirect light,Switch1,0,int,0,1,[],"{'open':1, 'close':0}"
triangle light,Switch1,0,int,0,1,[],"{'open':1, 'close':0}"
triangle light,Luminance-I,0,int,0,10,[],"{'bright':9,'dark':2}"
CHT LED,Switch1,0,int,0,1,[],"{'open':1, 'close':0}"
CHT LED,Luminance-I,0,int,0,10,[],"{'bright':9,'dark':1}"
CAG LED,Switch1,0,int,0,1,[],"{'open':1, 'close':0}"
CAG LED,Luminance-I,0,int,0,10,[],"{'bright':9,'dark':1}"
CAG LED,ColorTemperature-I,0,int,0,10,[],"{'cool':10,'warm':1}"
tatung fan,Switch1,0,int,0,1,[],"{'open':1, 'close':0}"
tatung fan,Fanspeed-I,0,int,0,5,[],"{'high':5,'low':1}"
chimei fan,Switch1,0,int,0,1,[],"{'open':1, 'close':0}"
chimei fan,Fanspeed-I,0,int,0,8,[],"{'high':8,'low':1}"
curtain1,Switch1,0,int,0,1,[],"{'open':1, 'close':0}"
curtain2,Switch1,0,int,0,1,[],"{'open':1, 'close':0}"
curtain3,Switch1,0,int,0,1,[],"{'open':1, 'close':0}"
window,Switch1,0,int,0,1,[],"{'open':1, 'close':0}"
Tatung airpurifier,Switch1,0,int,0,1,[],"{'open':1, 'close':0}"
robotic arm,Rotation-I,0,int,0,360,[],
door,Switch1,0,int,0,1,[],"{'open':1, 'close':0}"
dummy1,Switch1,0,int,0,1,[],"{'open':1, 'close':0}"
dummy1,Timer,0,int,0,3600,[],
dummy1,Temperature-I,0,int,0,100,[],
dummy1,Color-I,0,int,0,255,[],
dummy1,Color-I,1,int,0,255,[],
dummy1,Color-I,2,int,0,255,[],
dummy2,Switch1,0,int,0,1,[],"{'open':1, 'close':0}"
dummy2,Place-I,0,string,0,0,[],"{'seattle':'seattle'}"
dummy2,Timer,0,int,0,3600,[],
dummy2,Color-I,0,int,0,255,[],"{'red':255}"
dummy2,Color-I,0,int,0,255,[],"{'red':0}"
dummy2,Color-I,0,int,0,255,[],"{'red':0}"
dummy2,Special-I,0,int,0,90,[],
dummy2,Special-I,1,int,0,180,[],
dummy2,Special-I,2,string,0,0,[],
